ID,probability
TEST_00000,0.015237926976099948
TEST_00001,0.01216065286960482
TEST_00002,0.159305854750194
TEST_00003,0.10879474786020464
TEST_00004,0.49288029279075535
TEST_00005,0.1257548701408958
TEST_00006,0.4627913888582227
TEST_00007,0.42038118676919717
TEST_00008,0.27296593990868584
TEST_00009,0.0038319333119580697
TEST_00010,0.05836683051024008
TEST_00011,0.46594469811374645
TEST_00012,0.3804269875749207
TEST_00013,0.42798782028441734
TEST_00014,0.28490676333098636
TEST_00015,0.00534797914010634
TEST_00016,0.2570119637080516
TEST_00017,0.3806660513405122
TEST_00018,0.23404177519984629
TEST_00019,0.6323855397944936
TEST_00020,0.27117518541299823
TEST_00021,0.3988127775151571
TEST_00022,0.26956564374317754
TEST_00023,0.2310678521780014
TEST_00024,0.3876374363975114
TEST_00025,0.0038493608283590324
TEST_00026,0.11892505844030836
TEST_00027,0.46672641474119175
TEST_00028,0.18295225859839723
TEST_00029,0.17887202324346277
TEST_00030,0.43842778201397675
TEST_00031,0.18410764235298974
TEST_00032,0.16792704586265447
TEST_00033,0.1851882640922454
TEST_00034,0.3859128533191936
TEST_00035,0.008620912384315284
TEST_00036,0.13657759742751263
TEST_00037,0.3250547244544502
TEST_00038,0.22556890191133325
TEST_00039,0.004570585954171746
TEST_00040,0.1976116770249823
TEST_00041,0.14695327066108194
TEST_00042,0.3042168225078957
TEST_00043,0.30037708443225214
TEST_00044,0.3132435462293756
TEST_00045,0.49431396420395757
TEST_00046,0.512702717172666
TEST_00047,0.2556099279357719
TEST_00048,0.13968062216934282
TEST_00049,0.3856085677405369
TEST_00050,0.26211182147793033
TEST_00051,0.16376263577032896
TEST_00052,0.12691142815203024
TEST_00053,0.5201306950026477
TEST_00054,0.003870164347638905
TEST_00055,0.4274537829064111
TEST_00056,0.30869982901549026
TEST_00057,0.225425834055437
TEST_00058,0.49562615580568137
TEST_00059,0.21525656655917824
TEST_00060,0.008654018021227528
TEST_00061,0.1786463546575285
TEST_00062,0.34528966161679914
TEST_00063,0.33998335193017465
TEST_00064,0.19065227993673203
TEST_00065,0.004579368141543701
TEST_00066,0.2766242485399957
TEST_00067,0.21171212953186855
TEST_00068,0.28023517711326484
TEST_00069,0.46782218083836263
TEST_00070,0.37981842936027904
TEST_00071,0.3405433655889997
TEST_00072,0.21601630274304487
TEST_00073,0.25659976664065515
TEST_00074,0.141044213641502
TEST_00075,0.23221945367959815
TEST_00076,0.027529533611232847
TEST_00077,0.005196823694066132
TEST_00078,0.12580467167724854
TEST_00079,0.21245267548279254
TEST_00080,0.3417730392445433
TEST_00081,0.0038502115231823834
TEST_00082,0.22185226832983343
TEST_00083,0.16066251495103553
TEST_00084,0.4149243322092331
TEST_00085,0.36684480971405636
TEST_00086,0.0034141113547095214
TEST_00087,0.3895507670096607
TEST_00088,0.11878302419678331
TEST_00089,0.39456289674707007
TEST_00090,0.24828928179749932
TEST_00091,0.09889420352893064
TEST_00092,0.4200073765886086
TEST_00093,0.5116299569709454
TEST_00094,0.0027269484948130823
TEST_00095,0.003069687200577003
TEST_00096,0.461774337889993
TEST_00097,0.11436233930939811
TEST_00098,0.3836315090212532
TEST_00099,0.28067952062898155
TEST_00100,0.10784946267643807
TEST_00101,0.19804456444083354
TEST_00102,0.36811699871575465
